"istat_code","name"
"030001","Aiello del Friuli"
"030002","Amaro"
"030003","Ampezzo"
"030004","Aquileia"
"030005","Arta Terme"
"030006","Artegna"
"030007","Attimis"
"030008","Bagnaria Arsa"
"030009","Basiliano"
"030010","Bertiolo"
"030011","Bicinicco"
"030012","Bordano"
"030013","Buja"
"030014","Buttrio"
"030015","Camino al Tagliamento"
"030016","Campoformido"
"030018","Carlino"
"030019","Cassacco"
"030020","Castions di Strada"
"030021","Cavazzo Carnico"
"030022","Cercivento"
"030023","Cervignano del Friuli"
"030024","Chiopris-Viscone"
"030025","Chiusaforte"
"030026","Cividale del Friuli"
"030027","Codroipo"
"030028","Colloredo di Monte Albano"
"030029","Comeglians"
"030030","Corno di Rosazzo"
"030031","Coseano"
"030032","Dignano"
"030033","Dogna"
"030034","Drenchia"
"030035","Enemonzo"
"030036","Faedis"
"030037","Fagagna"
"030039","Flaibano"
"030040","Forni Avoltri"
"030041","Forni di Sopra"
"030042","Forni di Sotto"
"030043","Gemona del Friuli"
"030044","Gonars"
"030045","Grimacco"
"030046","Latisana"
"030047","Lauco"
"030048","Lestizza"
"030049","Lignano Sabbiadoro"
"030051","Lusevera"
"030052","Magnano in Riviera"
"030053","Majano"
"030054","Malborghetto Valbruna"
"030055","Manzano"
"030056","Marano Lagunare"
"030057","Martignacco"
"030058","Mereto di Tomba"
"030059","Moggio Udinese"
"030060","Moimacco"
"030061","Montenars"
"030062","Mortegliano"
"030063","Moruzzo"
"030064","Muzzana del Turgnano"
"030065","Nimis"
"030066","Osoppo"
"030067","Ovaro"
"030068","Pagnacco"
"030069","Palazzolo dello Stella"
"030070","Palmanova"
"030071","Paluzza"
"030072","Pasian di Prato"
"030073","Paularo"
"030074","Pavia di Udine"
"030075","Pocenia"
"030076","Pontebba"
"030077","Porpetto"
"030078","Povoletto"
"030079","Pozzuolo del Friuli"
"030080","Pradamano"
"030081","Prato Carnico"
"030082","Precenicco"
"030083","Premariacco"
"030084","Preone"
"030085","Prepotto"
"030086","Pulfero"
"030087","Ragogna"
"030088","Ravascletto"
"030089","Raveo"
"030090","Reana del Rojale"
"030091","Remanzacco"
"030092","Resia"
"030093","Resiutta"
"030094","Rigolato"
"030095","Rive d'Arcano"
"030097","Ronchis"
"030098","Ruda"
"030099","San Daniele del Friuli"
"030100","San Giorgio di Nogaro"
"030101","San Giovanni al Natisone"
"030102","San Leonardo"
"030103","San Pietro al Natisone"
"030104","Santa Maria la Longa"
"030105","San Vito al Torre"
"030106","San Vito di Fagagna"
"030107","Sauris"
"030108","Savogna"
"030109","Sedegliano"
"030110","Socchieve"
"030111","Stregna"
"030112","Sutrio"
"030113","Taipana"
"030114","Talmassons"
"030116","Tarcento"
"030117","Tarvisio"
"030118","Tavagnacco"
"030120","Terzo d'Aquileia"
"030121","Tolmezzo"
"030122","Torreano"
"030123","Torviscosa"
"030124","Trasaghis"
"030126","Treppo Grande"
"030127","Tricesimo"
"030128","Trivignano Udinese"
"030129","Udine"
"030130","Varmo"
"030131","Venzone"
"030132","Verzegnis"
"030133","Villa Santina"
"030135","Visco"
"030136","Zuglio"
"030137","Forgaria nel Friuli"
"030138","Campolongo Tapogliano"
"030188","Rivignano Teor"
"030189","Sappada"
"030190","Fiumicello Villa Vicentina"
"030191","Treppo Ligosullo"
"031001","Capriva del Friuli"
"031002","Cormons"
"031003","Doberdò del Lago"
"031004","Dolegna del Collio"
"031005","Farra d'Isonzo"
"031006","Fogliano Redipuglia"
"031007","Gorizia"
"031008","Gradisca d'Isonzo"
"031009","Grado"
"031010","Mariano del Friuli"
"031011","Medea"
"031012","Monfalcone"
"031013","Moraro"
"031014","Mossa"
"031015","Romans d'Isonzo"
"031016","Ronchi dei Legionari"
"031017","Sagrado"
"031018","San Canzian d'Isonzo"
"031019","San Floriano del Collio"
"031020","San Lorenzo Isontino"
"031021","San Pier d'Isonzo"
"031022","Savogna d'Isonzo"
"031023","Staranzano"
"031024","Turriaco"
"031025","Villesse"
"032001","Duino Aurisina"
"032002","Monrupino"
"032003","Muggia"
"032004","San Dorligo della Valle"
"032005","Sgonico"
"032006","Trieste"
"093001","Andreis"
"093002","Arba"
"093004","Aviano"
"093005","Azzano Decimo"
"093006","Barcis"
"093007","Brugnera"
"093008","Budoia"
"093009","Caneva"
"093010","Casarsa della Delizia"
"093011","Castelnovo del Friuli"
"093012","Cavasso Nuovo"
"093013","Chions"
"093014","Cimolais"
"093015","Claut"
"093016","Clauzetto"
"093017","Cordenons"
"093018","Cordovado"
"093019","Erto e Casso"
"093020","Fanna"
"093021","Fiume Veneto"
"093022","Fontanafredda"
"093024","Frisanco"
"093025","Maniago"
"093026","Meduno"
"093027","Montereale Valcellina"
"093028","Morsano al Tagliamento"
"093029","Pasiano di Pordenone"
"093030","Pinzano al Tagliamento"
"093031","Polcenigo"
"093032","Porcia"
"093033","Pordenone"
"093034","Prata di Pordenone"
"093035","Pravisdomini"
"093036","Roveredo in Piano"
"093037","Sacile"
"093038","San Giorgio della Richinvelda"
"093039","San Martino al Tagliamento"
"093040","San Quirino"
"093041","San Vito al Tagliamento"
"093042","Sequals"
"093043","Sesto al Reghena"
"093044","Spilimbergo"
"093045","Tramonti di Sopra"
"093046","Tramonti di Sotto"
"093047","Travesio"
"093049","Vito d'Asio"
"093050","Vivaro"
"093051","Zoppola"
"093052","Vajont"
"093053","Valvasone Arzene"
